,period,v_t,v_hi,v_lo,bid,ask
7000,2017-09-05 20:41:00+00:00,488000.0,488000.0,488000.0,488000.0,488139.0
7001,2017-09-05 20:42:00+00:00,488035.0,488035.0,488035.0,487500.0,488035.0
7002,2017-09-05 20:43:00+00:00,488035.0,488035.0,488035.0,488000.0,488129.0
7003,2017-09-05 20:44:00+00:00,487521.0,487521.0,487521.0,487521.0,488056.0
7004,2017-09-05 20:45:00+00:00,486713.0,486713.0,486713.0,486713.0,488036.0
7005,2017-09-05 20:46:00+00:00,487905.0,487905.0,487905.0,487795.0,487995.0
7006,2017-09-05 20:47:00+00:00,488600.0,488600.0,488600.0,488400.0,488600.0
7007,2017-09-05 20:48:00+00:00,488971.0,488971.0,488971.0,488900.0,488971.0
7008,2017-09-05 20:49:00+00:00,489400.0,489400.0,489400.0,489200.0,489400.0
7009,2017-09-05 20:50:00+00:00,489399.0,489399.0,489399.0,489100.0,489399.0
7010,2017-09-05 20:51:00+00:00,488225.0,488225.0,488225.0,488100.0,488225.0
7011,2017-09-05 20:52:00+00:00,489187.0,489187.0,489187.0,488502.0,489544.0
7012,2017-09-05 20:53:00+00:00,488396.0,488396.0,488396.0,488397.0,489517.0
7013,2017-09-05 20:54:00+00:00,489666.0,489666.0,489666.0,489171.0,489665.0
7014,2017-09-05 20:55:00+00:00,489882.0,489882.0,489882.0,489412.0,490587.0
7015,2017-09-05 20:56:00+00:00,489867.0,489867.0,489867.0,489500.0,489867.0
7016,2017-09-05 20:57:00+00:00,490590.0,490590.0,490590.0,489622.0,490520.0
7017,2017-09-05 20:58:00+00:00,490385.0,490385.0,490385.0,490521.0,490895.0
7018,2017-09-05 20:59:00+00:00,490210.0,490210.0,490210.0,490400.0,490875.0
7019,2017-09-05 21:00:00+00:00,490590.0,490590.0,490590.0,490592.0,491100.0
7020,2017-09-05 21:01:00+00:00,491022.0,491022.0,491022.0,490650.0,491022.0
7021,2017-09-05 21:02:00+00:00,490711.0,490711.0,490711.0,490590.0,490710.0
7022,2017-09-05 21:03:00+00:00,490000.0,490000.0,490000.0,489911.0,490000.0
7023,2017-09-05 21:04:00+00:00,490001.0,490001.0,490001.0,490001.0,490134.0
7024,2017-09-05 21:05:00+00:00,489780.0,489780.0,489780.0,489780.0,490144.0
7025,2017-09-05 21:06:00+00:00,490000.0,490000.0,490000.0,489799.0,490484.0
7026,2017-09-05 21:07:00+00:00,490010.0,490010.0,490010.0,489721.0,490060.0
7027,2017-09-05 21:08:00+00:00,489726.0,489726.0,489726.0,489726.0,489819.0
7028,2017-09-05 21:09:00+00:00,489000.0,489000.0,489000.0,489000.0,489130.0
7029,2017-09-05 21:10:00+00:00,488160.0,488160.0,488160.0,488162.0,489588.0
7030,2017-09-05 21:11:00+00:00,489500.0,489500.0,489500.0,488878.0,489500.0
7031,2017-09-05 21:12:00+00:00,489902.0,489902.0,489902.0,490030.0,490285.0
7032,2017-09-05 21:13:00+00:00,490320.0,490320.0,490320.0,490002.0,490320.0
7033,2017-09-05 21:14:00+00:00,489914.0,489914.0,489914.0,489905.0,489907.0
7034,2017-09-05 21:15:00+00:00,489450.0,489450.0,489450.0,489450.0,489901.0
7035,2017-09-05 21:16:00+00:00,489000.0,489000.0,489000.0,489450.0,489477.0
7036,2017-09-05 21:17:00+00:00,488521.0,488521.0,488521.0,488521.0,488997.0
7037,2017-09-05 21:18:00+00:00,488201.0,488201.0,488201.0,488201.0,488739.0
7038,2017-09-05 21:19:00+00:00,488907.0,488907.0,488907.0,488907.0,489639.0
7039,2017-09-05 21:20:00+00:00,489100.0,489100.0,489100.0,488907.0,489095.0
7040,2017-09-05 21:21:00+00:00,488380.0,488380.0,488380.0,488380.0,488899.0
7041,2017-09-05 21:22:00+00:00,488380.0,488380.0,488380.0,488380.0,488662.0
7042,2017-09-05 21:23:00+00:00,488519.0,488519.0,488519.0,487997.0,488509.0
7043,2017-09-05 21:24:00+00:00,488000.0,488000.0,488000.0,488001.0,488518.0
7044,2017-09-05 21:25:00+00:00,488519.0,488519.0,488519.0,488516.0,488590.0
7045,2017-09-05 21:26:00+00:00,488380.0,488380.0,488380.0,488300.0,488380.0
7046,2017-09-05 21:27:00+00:00,488380.0,488380.0,488380.0,488381.0,488899.0
7047,2017-09-05 21:28:00+00:00,488380.0,488380.0,488380.0,488380.0,488836.0
7048,2017-09-05 21:29:00+00:00,487791.0,487791.0,487791.0,487790.0,487791.0
7049,2017-09-05 21:30:00+00:00,487522.0,487522.0,487522.0,487522.0,487786.0
7050,2017-09-05 21:31:00+00:00,487477.0,487477.0,487477.0,487477.0,487499.0
7051,2017-09-05 21:32:00+00:00,486999.0,486999.0,486999.0,486652.0,486999.0
7052,2017-09-05 21:33:00+00:00,487428.0,487428.0,487428.0,487051.0,487427.0
7053,2017-09-05 21:34:00+00:00,487000.0,487000.0,487000.0,486570.0,487428.0
7054,2017-09-05 21:35:00+00:00,486986.0,486986.0,486986.0,486500.0,486985.0
7055,2017-09-05 21:36:00+00:00,486925.0,486925.0,486925.0,486925.0,486998.0
7056,2017-09-05 21:37:00+00:00,486470.0,486470.0,486470.0,486470.0,486920.0
7057,2017-09-05 21:38:00+00:00,486254.0,486254.0,486254.0,486254.0,486442.0
7058,2017-09-05 21:39:00+00:00,484770.0,484770.0,484770.0,485000.0,485800.0
7059,2017-09-05 21:40:00+00:00,485628.0,485628.0,485628.0,484801.0,485628.0
7060,2017-09-05 21:41:00+00:00,485628.0,485628.0,485628.0,484901.0,485730.0
7061,2017-09-05 21:42:00+00:00,485628.0,485628.0,485628.0,485101.0,485523.0
7062,2017-09-05 21:43:00+00:00,485000.0,485000.0,485000.0,485000.0,485001.0
7063,2017-09-05 21:44:00+00:00,485208.0,485208.0,485208.0,485243.0,485612.0
7064,2017-09-05 21:45:00+00:00,485999.0,485999.0,485999.0,485238.0,485999.0
7065,2017-09-05 21:46:00+00:00,485682.0,485682.0,485682.0,485682.0,485900.0
7066,2017-09-05 21:47:00+00:00,485000.0,485000.0,485000.0,484434.0,485070.0
7067,2017-09-05 21:48:00+00:00,484100.0,484100.0,484100.0,484100.0,484321.0
7068,2017-09-05 21:49:00+00:00,484973.0,484973.0,484973.0,484237.0,484972.0
7069,2017-09-05 21:50:00+00:00,485001.0,485001.0,485001.0,485000.0,485370.0
7070,2017-09-05 21:51:00+00:00,485000.0,485000.0,485000.0,485000.0,485300.0
7071,2017-09-05 21:52:00+00:00,485490.0,485490.0,485490.0,484977.0,485489.0
7072,2017-09-05 21:53:00+00:00,485940.0,485940.0,485940.0,485361.0,485940.0
7073,2017-09-05 21:54:00+00:00,486000.0,486000.0,486000.0,486047.0,486254.0
7074,2017-09-05 21:55:00+00:00,486256.0,486256.0,486256.0,486425.0,486440.0
7075,2017-09-05 21:56:00+00:00,486910.0,486910.0,486910.0,486503.0,486909.0
7076,2017-09-05 21:57:00+00:00,486909.0,486909.0,486909.0,486527.0,486909.0
7077,2017-09-05 21:58:00+00:00,487020.0,487020.0,487020.0,487020.0,487274.0
7078,2017-09-05 21:59:00+00:00,487179.0,487179.0,487179.0,487023.0,487179.0
7079,2017-09-05 22:00:00+00:00,487470.0,487470.0,487470.0,487428.0,487470.0
7080,2017-09-05 22:01:00+00:00,487750.0,487750.0,487750.0,487583.0,487749.0
7081,2017-09-05 22:02:00+00:00,487750.0,487750.0,487750.0,487504.0,487750.0
7082,2017-09-05 22:03:00+00:00,488000.0,488000.0,488000.0,487797.0,488000.0
7083,2017-09-05 22:04:00+00:00,488628.0,488628.0,488628.0,488500.0,488628.0
7084,2017-09-05 22:05:00+00:00,488604.0,488604.0,488604.0,488606.0,489253.0
7085,2017-09-05 22:06:00+00:00,487730.0,487730.0,487730.0,487730.0,487959.0
7086,2017-09-05 22:07:00+00:00,487896.0,487896.0,487896.0,487596.0,488166.0
7087,2017-09-05 22:08:00+00:00,487311.0,487311.0,487311.0,487311.0,487321.0
7088,2017-09-05 22:09:00+00:00,486911.0,486911.0,486911.0,486911.0,487020.0
7089,2017-09-05 22:10:00+00:00,486440.0,486440.0,486440.0,486440.0,486719.0
7090,2017-09-05 22:11:00+00:00,486719.0,486719.0,486719.0,486600.0,486719.0
7091,2017-09-05 22:12:00+00:00,487900.0,487900.0,487900.0,487610.0,487900.0
7092,2017-09-05 22:13:00+00:00,487321.0,487321.0,487321.0,487322.0,487610.0
7093,2017-09-05 22:14:00+00:00,487000.0,487000.0,487000.0,487000.0,487320.0
